物件名,住所,最寄り駅,賃料,間取り,面積
東京メトロ東西線 茅場町駅 10階建 築25年,東京都中央区日本橋茅場町２,['東京メトロ東西線/茅場町駅 歩2分\n東京メトロ日比谷線/八丁堀駅 歩5分\n東京メトロ銀座線/日本橋駅 歩10分'],10万円,,
エステムプラザ日本橋弐番館,東京都中央区日本橋浜町３,['東京メトロ半蔵門線/水天宮前駅 歩7分\n都営新宿線/浜町駅 歩5分\n都営大江戸線/森下駅 歩10分'],9.3万円,,
シェトワ佃,東京都中央区佃３,['東京メトロ有楽町線/月島駅 歩2分\n都営大江戸線/勝どき駅 歩13分\nＪＲ京葉線/越中島駅 歩13分'],15.7万円,,
レジディア三越前,東京都中央区日本橋本町３,['ＪＲ総武線快速/新日本橋駅 歩2分\n東京メトロ日比谷線/小伝馬町駅 歩4分\n東京メトロ銀座線/三越前駅 歩6分'],9.6万円,,
新富町サニービル,東京都中央区新富１,['東京メトロ有楽町線/新富町駅 歩2分\n都営浅草線/宝町駅 歩5分\n東京メトロ日比谷線/八丁堀駅 歩5分'],14.8万円,,
都営浅草線 東日本橋駅 15階建 築10年,東京都中央区東日本橋３,['都営浅草線/東日本橋駅 歩1分\n都営新宿線/馬喰横山駅 歩1分\nＪＲ総武線快速/馬喰町駅 歩5分'],11.75万円,,
レスポワール佃,東京都中央区佃３,['東京メトロ有楽町線/月島駅 歩2分\nＪＲ京葉線/越中島駅 歩11分\n都営大江戸線/勝どき駅 歩15分'],10.7万円,,
東京メトロ有楽町線 月島駅 7階建 築20年,東京都中央区佃３,['東京メトロ有楽町線/月島駅 歩2分\n都営大江戸線/月島駅 歩4分\nＪＲ京葉線/越中島駅 歩14分'],10.7万円,,
ＪＲ中央線 神田駅 13階建 築2年,東京都千代田区内神田２,['ＪＲ中央線/神田駅 歩4分\n東京メトロ東西線/大手町駅 歩5分\n東京メトロ千代田線/新御茶ノ水駅 歩11分'],16.5万円,,
都営三田線 神保町駅 地下1地上9階建 築21年,東京都千代田区神田神保町１,['都営三田線/神保町駅 歩3分\n東京メトロ東西線/竹橋駅 歩7分\n都営新宿線/小川町駅 歩8分'],10万円,,
カスタリア水天宮II,東京都中央区日本橋蛎殻町１,['東京メトロ半蔵門線/水天宮前駅 歩2分\n都営浅草線/人形町駅 歩5分\n東京メトロ日比谷線/茅場町駅 歩10分'],11.4万円,,
東京メトロ半蔵門線 水天宮前駅 12階建 築22年,東京都中央区日本橋蛎殻町１,['東京メトロ半蔵門線/水天宮前駅 歩2分\n東京メトロ東西線/茅場町駅 歩8分\n東京メトロ日比谷線/人形町駅 歩5分'],12.4万円,,
リビオメゾン日本橋浜町公園,東京都中央区日本橋浜町２,['都営新宿線/浜町駅 歩3分\n東京メトロ日比谷線/人形町駅 歩10分\n都営新宿線/馬喰横山駅 歩9分'],17.3万円,,
パークマンション千鳥ヶ淵,東京都千代田区九段南２,['東京メトロ半蔵門線/半蔵門駅 歩10分\n東京メトロ東西線/九段下駅 歩8分\n東京メトロ有楽町線/市ケ谷駅 歩18分'],120万円,,
サンパークマンション千代田,東京都千代田区飯田橋２,['ＪＲ中央線/飯田橋駅 歩2分\nＪＲ中央線/水道橋駅 歩9分\n東京メトロ東西線/九段下駅 歩7分'],18万円,,
カスタリア水天宮II,東京都中央区日本橋蛎殻町１,['東京メトロ半蔵門線/水天宮前駅 歩2分\n都営浅草線/人形町駅 歩5分\n東京メトロ日比谷線/茅場町駅 歩10分'],11.4万円,,
東京メトロ半蔵門線 水天宮前駅 12階建 築22年,東京都中央区日本橋蛎殻町１,['東京メトロ半蔵門線/水天宮前駅 歩2分\n東京メトロ東西線/茅場町駅 歩8分\n東京メトロ日比谷線/人形町駅 歩5分'],12.4万円,,
リビオメゾン日本橋浜町公園,東京都中央区日本橋浜町２,['都営新宿線/浜町駅 歩3分\n東京メトロ日比谷線/人形町駅 歩10分\n都営新宿線/馬喰横山駅 歩9分'],17.3万円,,
東京メトロ半蔵門線 水天宮前駅 13階建 築22年,東京都中央区日本橋蛎殻町１,['東京メトロ半蔵門線/水天宮前駅 歩2分\n東京メトロ日比谷線/人形町駅 歩7分\n東京メトロ東西線/茅場町駅 歩9分'],8.1万円,,
東京メトロ有楽町線 新富町駅 14階建 築21年,東京都中央区銀座１,['東京メトロ有楽町線/新富町駅 歩2分\n東京メトロ日比谷線/東銀座駅 歩6分\n都営浅草線/宝町駅 歩7分'],12.6万円,,
グランスイートTOKYOマークス,東京都千代田区神田多町２,['東京メトロ銀座線/神田駅 歩4分\n都営新宿線/岩本町駅 歩7分\n東京メトロ日比谷線/秋葉原駅 歩10分'],10万円,,
ＪＲ山手線 秋葉原駅 11階建 築22年,東京都千代田区岩本町３,['ＪＲ山手線/秋葉原駅 歩3分\n都営新宿線/岩本町駅 歩4分\nＪＲ山手線/神田駅 歩13分'],10.6万円,,
東京メトロ半蔵門線 神保町駅 地下1地上13階建 築21年,東京都千代田区神田神保町２,['東京メトロ半蔵門線/神保町駅 歩1分\n東京メトロ東西線/九段下駅 歩6分\nＪＲ中央線/水道橋駅 歩10分'],14.6万円,,
月村マンションナンバー３３,東京都中央区日本橋中洲,['東京メトロ半蔵門線/水天宮前駅 歩6分\n都営新宿線/浜町駅 歩8分\n都営大江戸線/清澄白河駅 歩8分'],15.5万円,,
東京メトロ半蔵門線 水天宮前駅 9階建 築46年,東京都中央区日本橋中洲,['東京メトロ半蔵門線/水天宮前駅 歩6分\n都営新宿線/浜町駅 歩9分\n都営浅草線/人形町駅 歩11分'],15.5万円,,
ミリアレジデンス日本橋人形町2,東京都中央区日本橋人形町２,['東京メトロ半蔵門線/水天宮前駅 歩2分\n東京メトロ日比谷線/人形町駅 歩3分\n都営新宿線/浜町駅 歩6分'],13.6万円,,
都営大江戸線 月島駅 11階建 築23年,東京都中央区月島３,['都営大江戸線/月島駅 歩3分\n都営大江戸線/勝どき駅 歩3分\nＪＲ京葉線/越中島駅 歩18分'],12.3万円,,
ライジングプレイス秋葉原,東京都千代田区東神田２,['ＪＲ山手線/秋葉原駅 歩9分\n都営新宿線/岩本町駅 歩4分\nＪＲ総武線快速/馬喰町駅 歩9分'],12.5万円,,
ヴェルト日本橋シティ,東京都中央区日本橋箱崎町,['東京メトロ半蔵門線/水天宮前駅 歩3分\n東京メトロ日比谷線/人形町駅 歩10分\n東京メトロ日比谷線/茅場町駅 歩11分'],8.3万円,,
アルテシモプリマ,東京都中央区日本橋中洲,['東京メトロ半蔵門線/水天宮前駅 歩7分\n都営新宿線/浜町駅 歩9分\n都営大江戸線/清澄白河駅 歩12分'],10.8万円,,
都営大江戸線 勝どき駅 14階建 築27年,東京都中央区勝どき２,['都営大江戸線/勝どき駅 歩3分\n東京メトロ有楽町線/月島駅 歩9分\n東京メトロ日比谷線/築地駅 歩17分'],9万円,,
都営浅草線 東日本橋駅 10階建 築23年,東京都中央区東日本橋３,['都営浅草線/東日本橋駅 歩3分\nＪＲ総武線快速/馬喰町駅 歩4分\n東京メトロ日比谷線/小伝馬町駅 歩7分'],13.9万円,,
ザ・パークハビオ月島フロント,東京都中央区佃３,['東京メトロ有楽町線/月島駅 歩1分\nＪＲ京葉線/越中島駅 歩12分\n都営大江戸線/勝どき駅 歩13分'],12万円,,
東京メトロ有楽町線 月島駅 10階建 築6年,東京都中央区佃３,['東京メトロ有楽町線/月島駅 歩1分\nＪＲ京葉線/越中島駅 歩13分\n都営大江戸線/勝どき駅 歩15分'],12万円,,
都営新宿線 岩本町駅 15階建 築23年,東京都千代田区岩本町３,['都営新宿線/岩本町駅 歩2分\nＪＲ山手線/秋葉原駅 歩5分\n東京メトロ日比谷線/小伝馬町駅 歩9分'],9.8万円,,
ＴＨＥ　ＲＯＯＭ’Ｓ　日本橋浜町,東京都中央区日本橋浜町２,['都営新宿線/浜町駅 歩2分\n東京メトロ半蔵門線/水天宮前駅 歩7分\n東京メトロ日比谷線/人形町駅 歩10分'],15万円,,
サンウッドフラッツ神田神保町,東京都千代田区神田神保町２,['東京メトロ半蔵門線/神保町駅 歩2分\nＪＲ中央線/水道橋駅 歩10分\n東京メトロ東西線/九段下駅 歩6分'],13万円,,
東京メトロ日比谷線 人形町駅 11階建 築23年,東京都中央区日本橋堀留町１,['東京メトロ日比谷線/人形町駅 歩3分\n東京メトロ半蔵門線/水天宮前駅 歩9分\n東京メトロ日比谷線/小伝馬町駅 歩7分'],10万円,,
ステージグランデ新川,東京都中央区新川２,['ＪＲ京葉線/八丁堀駅 歩5分\n東京メトロ日比谷線/茅場町駅 歩12分\n東京メトロ有楽町線/新富町駅 歩15分'],16.5万円,,
ＪＲ京葉線 八丁堀駅 13階建 築21年,東京都中央区新川２,['ＪＲ京葉線/八丁堀駅 歩5分\n東京メトロ日比谷線/茅場町駅 歩12分\n東京メトロ有楽町線/新富町駅 歩15分'],16.5万円,,
都営新宿線 馬喰横山駅 11階建 築21年,東京都中央区東日本橋３,['都営新宿線/馬喰横山駅 歩2分\n都営浅草線/東日本橋駅 歩3分\nＪＲ総武線快速/馬喰町駅 歩4分'],7.72万円,,
ＪＲ山手線 神田駅 12階建 築2年,東京都千代田区神田須田町１,['ＪＲ山手線/神田駅 歩4分\n東京メトロ丸ノ内線/淡路町駅 歩5分\n都営新宿線/小川町駅 歩5分'],14.4万円,,
グランド・ガーラ日本橋兜町,東京都中央区日本橋兜町,['東京メトロ日比谷線/茅場町駅 歩2分\n東京メトロ銀座線/三越前駅 歩6分\n東京メトロ東西線/日本橋駅 歩2分'],8.4万円,,
パークサイド九段,東京都千代田区神田神保町２,['東京メトロ半蔵門線/神保町駅 歩1分\nＪＲ中央線/水道橋駅 歩6分\n東京メトロ東西線/九段下駅 歩4分'],10万円,,
東京メトロ日比谷線 人形町駅 14階建 築22年,東京都中央区日本橋人形町２,['東京メトロ日比谷線/人形町駅 歩2分\n都営新宿線/浜町駅 歩5分\n東京メトロ半蔵門線/水天宮前駅 歩11分'],8.5万円,,
ＪＲ山手線 神田駅 12階建 築2年,東京都千代田区神田須田町１,['ＪＲ山手線/神田駅 歩4分\n東京メトロ丸ノ内線/淡路町駅 歩5分\n都営新宿線/小川町駅 歩5分'],14.4万円,,
パークサイド九段,東京都千代田区神田神保町２,['東京メトロ半蔵門線/神保町駅 歩1分\nＪＲ中央線/水道橋駅 歩6分\n東京メトロ東西線/九段下駅 歩4分'],10万円,,
COSMOS REID Ningyofho【コスモリード人形町】,東京都中央区日本橋富沢町,['東京メトロ日比谷線/人形町駅 歩3分\nＪＲ総武線快速/馬喰町駅 歩10分\n都営新宿線/浜町駅 歩5分'],8.7万円,,
グランドガーラ日本橋茅場町,東京都中央区日本橋茅場町２,['ＪＲ山手線/東京駅 歩14分\n東京メトロ銀座線/日本橋駅 歩7分\n東京メトロ日比谷線/茅場町駅 歩2分'],9.4万円,,
ＪＲ山手線 神田駅 13階建 築8年,東京都千代田区神田美土代町,['ＪＲ山手線/神田駅 歩7分\nＪＲ中央線/御茶ノ水駅 歩10分\n東京メトロ千代田線/大手町駅 歩9分'],14万円,,
東京メトロ有楽町線 月島駅 3階建 築7年,東京都中央区月島１,['東京メトロ有楽町線/月島駅 歩1分\n東京メトロ日比谷線/築地駅 歩15分\nＪＲ京葉線/越中島駅 歩14分'],9万円,,
ファースト月島,東京都中央区月島１,['東京メトロ有楽町線/月島駅 歩1分\n都営大江戸線/月島駅 歩1分\n都営大江戸線/勝どき駅 歩15分'],9万円,,
東京メトロ半蔵門線 水天宮前駅 8階建 築14年,東京都中央区日本橋中洲,['東京メトロ半蔵門線/水天宮前駅 歩7分\n都営新宿線/浜町駅 歩7分\n東京メトロ日比谷線/人形町駅 歩14分'],9.2万円,,
ザ・パークハウス晴海タワーズ ティアロレジデンス,東京都中央区晴海２,['都営大江戸線/勝どき駅 歩12分\n東京メトロ有楽町線/月島駅 歩13分\n新交通ゆりかもめ/豊洲駅 歩15分'],21.5万円,,
パトリア九段下,東京都千代田区九段北１,['東京メトロ半蔵門線/九段下駅 歩1分\n東京メトロ東西線/飯田橋駅 歩9分\nＪＲ中央線/水道橋駅 歩10分'],11.4万円,,
東京メトロ半蔵門線 九段下駅 14階建 築19年,東京都千代田区九段北１,['東京メトロ半蔵門線/九段下駅 歩1分\n東京メトロ東西線/飯田橋駅 歩9分\nＪＲ中央線/水道橋駅 歩10分'],11.4万円,,
ＪＲ総武線快速 馬喰町駅 12階建 築22年,東京都千代田区東神田１,['ＪＲ総武線快速/馬喰町駅 歩6分\n都営新宿線/馬喰横山駅 歩9分\n都営浅草線/東日本橋駅 歩8分'],7.7万円,,
東京メトロ日比谷線 茅場町駅 10階建 築4年,東京都中央区新川１,['東京メトロ日比谷線/茅場町駅 歩5分\n東京メトロ日比谷線/八丁堀駅 歩7分\nＪＲ京葉線/八丁堀駅 歩7分'],11.1万円,,
ユニデン八丁堀レジデンス,東京都中央区新川１,['東京メトロ日比谷線/茅場町駅 歩5分\n東京メトロ日比谷線/八丁堀駅 歩7分\nＪＲ京葉線/八丁堀駅 歩7分'],11.1万円,,
ヴェルデ東日本橋,東京都中央区東日本橋２,['都営浅草線/東日本橋駅 歩1分\n都営新宿線/馬喰横山駅 歩3分\nＪＲ総武線快速/馬喰町駅 歩4分'],11.9万円,,
マストライフ日本橋本町,東京都中央区日本橋本町４,['東京メトロ日比谷線/小伝馬町駅 歩2分\nＪＲ山手線/神田駅 歩10分\nＪＲ総武線快速/新日本橋駅 歩5分'],10.6万円,,
コンフォリア銀座EAST（コンフォリア銀座イースト）,東京都中央区入船１,['ＪＲ京葉線/八丁堀駅 歩2分\n東京メトロ有楽町線/新富町駅 歩5分\n東京メトロ日比谷線/築地駅 歩7分'],10.9万円,,
都営浅草線 東日本橋駅 10階建 築19年,東京都中央区東日本橋１,['都営浅草線/東日本橋駅 歩2分\n都営新宿線/馬喰横山駅 歩4分\n東京メトロ日比谷線/人形町駅 歩11分'],10.8万円,,
レジディア月島II,東京都中央区月島２,['東京メトロ有楽町線/月島駅 歩1分\n都営大江戸線/勝どき駅 歩8分\nＪＲ京葉線/越中島駅 歩13分'],12.5万円,,
東京メトロ日比谷線 築地駅 地下1地上10階建 築33年,東京都中央区築地３,['東京メトロ日比谷線/築地駅 歩2分\n東京メトロ有楽町線/新富町駅 歩4分\n東京メトロ日比谷線/東銀座駅 歩9分'],12.7万円,,
プチグランデ秋葉原,東京都千代田区神田佐久間町２,['ＪＲ山手線/秋葉原駅 歩1分\n都営新宿線/岩本町駅 歩2分\n東京メトロ銀座線/末広町駅 歩10分'],11万円,,
プレール神田佐久間町,東京都千代田区神田佐久間町４,['ＪＲ山手線/秋葉原駅 歩6分\n都営新宿線/岩本町駅 歩7分\nＪＲ総武線/浅草橋駅 歩6分'],8.2万円,,
東京メトロ有楽町線 新富町駅 18階建 築23年,東京都中央区明石町,['東京メトロ有楽町線/新富町駅 歩8分\n東京メトロ日比谷線/築地駅 歩9分\nＪＲ京葉線/八丁堀駅 歩15分'],21.6万円,,
FLレジデンス京御銀座,東京都中央区湊２,['東京メトロ日比谷線/八丁堀駅 歩6分\n東京メトロ有楽町線/新富町駅 歩8分\n東京メトロ東西線/茅場町駅 歩12分'],9.5万円,,
コンフォリア銀座イースト,東京都中央区入船１,['東京メトロ日比谷線/八丁堀駅 歩2分\n東京メトロ有楽町線/新富町駅 歩5分\n都営浅草線/宝町駅 歩9分'],10.9万円,,
ＪＲ総武線 浅草橋駅 12階建 築2年,東京都千代田区東神田２,['ＪＲ総武線/浅草橋駅 歩9分\nＪＲ総武線快速/馬喰町駅 歩7分\n都営浅草線/東日本橋駅 歩10分'],20.8万円,,
東京メトロ半蔵門線 水天宮前駅 8階建 築5年,東京都中央区日本橋中洲,['東京メトロ半蔵門線/水天宮前駅 歩7分\n都営新宿線/浜町駅 歩7分\n東京メトロ半蔵門線/清澄白河駅 歩12分'],14.4万円,,
ＪＲ京葉線 八丁堀駅 地下1地上14階建 築20年,東京都中央区入船１,['ＪＲ京葉線/八丁堀駅 歩4分\n東京メトロ有楽町線/新富町駅 歩7分'],10.9万円,,
