物件名,住所,最寄り駅,賃料,間取り,面積
ＪＲ総武線快速 馬喰町駅 13階建 築25年,東京都中央区東日本橋２,['ＪＲ総武線快速/馬喰町駅 歩4分\n都営浅草線/東日本橋駅 歩4分\n都営新宿線/馬喰横山駅 歩5分'],25万円,,
エクセレント東日本橋リバーサイド,東京都中央区東日本橋２,['都営浅草線/東日本橋駅 歩4分\n都営新宿線/馬喰横山駅 歩5分\nＪＲ総武線快速/馬喰町駅 歩4分'],25万円,,
プレミスト佃二丁目,東京都中央区佃２,['東京メトロ有楽町線/月島駅 歩3分\nＪＲ京葉線/越中島駅 歩13分\n東京メトロ東西線/門前仲町駅 歩15分'],30.7万円,,
東京メトロ有楽町線 月島駅 10階建 築9年,東京都中央区佃２,['東京メトロ有楽町線/月島駅 歩5分\nＪＲ京葉線/越中島駅 歩14分\nＪＲ京葉線/八丁堀駅 歩19分'],30.7万円,,
東京メトロ日比谷線 茅場町駅 12階建 築2年,東京都中央区日本橋茅場町２,['東京メトロ日比谷線/茅場町駅 歩3分\nＪＲ京葉線/八丁堀駅 歩5分\nＪＲ山手線/東京駅 歩15分'],14.2万円,,
ステージファースト神田,東京都千代田区岩本町２,['都営新宿線/岩本町駅 歩4分\n東京メトロ日比谷線/小伝馬町駅 歩5分\nＪＲ総武線快速/馬喰町駅 歩10分'],10.8万円,,
ウィルローズ築地　最上階・角部屋,東京都中央区築地６,['東京メトロ日比谷線/築地駅 歩5分\n都営大江戸線/築地市場駅 歩9分\n都営大江戸線/勝どき駅 歩9分'],37万円,,
アルファグランデ千桜タワー,東京都千代田区神田東松下町,['都営新宿線/岩本町駅 歩1分\nＪＲ山手線/秋葉原駅 歩6分\nＪＲ山手線/神田駅 歩5分'],33.5万円,,
Dimus大手町North　【ディームス大手町ノース】,東京都千代田区神田多町２,['ＪＲ山手線/神田駅 歩4分\nＪＲ山手線/秋葉原駅 歩11分\nＪＲ中央線/御茶ノ水駅 歩12分'],16.2万円,,
東神田テラスレジデンス,東京都千代田区東神田１,['都営新宿線/岩本町駅 歩5分\nＪＲ山手線/秋葉原駅 歩9分\nＪＲ山手線/神田駅 歩11分'],14.2万円,,
ＪＲ山手線 神田駅 地下1地上15階建 築3年,東京都中央区日本橋馬喰町１,['ＪＲ山手線/神田駅 歩15分\nＪＲ総武線/浅草橋駅 歩9分\n東京メトロ日比谷線/小伝馬町駅 歩5分'],11.8万円,,
リーヴァ築地,東京都中央区築地６,['東京メトロ日比谷線/築地駅 歩5分\n東京メトロ有楽町線/新富町駅 歩12分\n都営大江戸線/築地市場駅 歩9分'],13.6万円,,
都営大江戸線 勝どき駅 8階建 築27年,東京都中央区月島４,['都営大江戸線/勝どき駅 歩8分\n東京メトロ有楽町線/月島駅 歩13分\n東京メトロ日比谷線/築地駅 歩24分'],20.6万円,,
ＪＲ山手線 神田駅 4階建 築53年,東京都千代田区岩本町２,['ＪＲ山手線/神田駅 歩8分\nＪＲ山手線/秋葉原駅 歩9分\n都営新宿線/岩本町駅 歩4分'],5.5万円,,
東京メトロ日比谷線 人形町駅 10階建 新築,東京都中央区日本橋堀留町１,['東京メトロ日比谷線/人形町駅 歩5分\n東京メトロ銀座線/三越前駅 歩9分\nＪＲ総武線快速/新日本橋駅 歩8分'],25.8万円,,
東京メトロ有楽町線 新富町駅 地下1地上27階建 築18年,東京都中央区湊３,['東京メトロ有楽町線/新富町駅 歩7分\nＪＲ京葉線/八丁堀駅 歩7分\n東京メトロ日比谷線/築地駅 歩9分'],22万円,,
セルリアンホームズ勝どき,東京都中央区勝どき３,['都営大江戸線/勝どき駅 歩3分\n東京メトロ有楽町線/月島駅 歩14分\n東京メトロ日比谷線/築地駅 歩15分'],26.6万円,,
リエトコートアルクスタワー,東京都中央区湊３,['東京メトロ有楽町線/新富町駅 歩6分\nＪＲ京葉線/八丁堀駅 歩8分\n東京メトロ日比谷線/築地駅 歩9分'],22万円,,
都営新宿線 岩本町駅 9階建 築5年,東京都千代田区岩本町２,['都営新宿線/岩本町駅 歩5分\nＪＲ中央線/神田駅 歩8分\n東京メトロ日比谷線/秋葉原駅 歩7分'],25.4万円,,
ルミシティ月島,東京都中央区月島４,['東京メトロ有楽町線/月島駅 歩4分\n都営大江戸線/勝どき駅 歩5分'],12.1万円,,
ＪＲ山手線 神田駅 15階建 築2年,東京都中央区日本橋本町４,['ＪＲ山手線/神田駅 歩10分\nＪＲ総武線快速/新日本橋駅 歩3分\n東京メトロ日比谷線/小伝馬町駅 歩2分'],14.5万円,,
エスレジデンス日本橋馬喰町アエレ,東京都中央区日本橋馬喰町１,['ＪＲ総武線快速/馬喰町駅 歩2分\n都営新宿線/馬喰横山駅 歩2分\n都営浅草線/東日本橋駅 歩4分'],19.7万円,,
スクエアードコート日本橋人形町,東京都中央区日本橋人形町１,['東京メトロ日比谷線/人形町駅 歩2分\n東京メトロ半蔵門線/水天宮前駅 歩5分\n東京メトロ東西線/茅場町駅 歩9分'],16.7万円,,
モンテベルデ築地,東京都中央区築地４,['東京メトロ日比谷線/築地駅 歩4分\n都営大江戸線/築地市場駅 歩5分\n都営浅草線/東銀座駅 歩7分'],15万円,,
東京メトロ日比谷線 築地駅 地下1地上11階建 築45年,東京都中央区築地４,['東京メトロ日比谷線/築地駅 歩4分\n都営浅草線/東銀座駅 歩7分\n都営大江戸線/築地市場駅 歩7分'],25万円,,
都営新宿線 神保町駅 14階建 新築,東京都千代田区神田神保町１,['都営新宿線/神保町駅 歩4分\nＪＲ総武線/水道橋駅 歩6分\n東京メトロ半蔵門線/九段下駅 歩9分'],15.6万円,,
パークシティ中央湊　ザ　タワー,東京都中央区湊２,['東京メトロ日比谷線/八丁堀駅 歩11分\n東京メトロ有楽町線/新富町駅 歩11分\n東京メトロ有楽町線/月島駅 歩13分'],28.8万円,,
都営大江戸線 勝どき駅 地下3地上58階建 築2年,東京都中央区勝どき４,['都営大江戸線/勝どき駅 歩2分\n東京メトロ有楽町線/月島駅 歩13分\n都営大江戸線/築地市場駅 歩19分'],29.5万円,,
プライムガーデン銀座八丁堀,東京都中央区入船１,['東京メトロ日比谷線/八丁堀駅 歩4分\n東京メトロ有楽町線/新富町駅 歩5分\n都営浅草線/宝町駅 歩11分'],14.95万円,,
東京メトロ半蔵門線 水天宮前駅 10階建 築6年,東京都中央区日本橋蛎殻町１,['東京メトロ半蔵門線/水天宮前駅 歩3分\n東京メトロ日比谷線/人形町駅 歩5分\n東京メトロ東西線/茅場町駅 歩6分'],22.4万円,,
ラグゼナ日本橋,東京都中央区日本橋堀留町１,['東京メトロ日比谷線/人形町駅 歩4分\n東京メトロ半蔵門線/水天宮前駅 歩8分\n都営浅草線/東日本橋駅 歩9分'],20.7万円,,
SEASON FLATS日本橋人形町プレミア,東京都中央区日本橋堀留町１,['東京メトロ日比谷線/人形町駅 歩4分\n東京メトロ銀座線/三越前駅 歩9分\n東京メトロ東西線/日本橋駅 歩10分'],26.1万円,,
シーズンフラッツ日本橋人形町プレミア,東京都中央区日本橋堀留町１,['東京メトロ日比谷線/人形町駅 歩4分\nＪＲ総武線快速/新日本橋駅 歩8分\n東京メトロ銀座線/三越前駅 歩9分'],24.5万円,,
イプセ日本橋,東京都中央区日本橋蛎殻町１,['東京メトロ半蔵門線/水天宮前駅 歩3分\n東京メトロ東西線/茅場町駅 歩5分\n東京メトロ日比谷線/人形町駅 歩9分'],15万円,,
リーラ勝鬨ニューハウン,東京都中央区勝どき２,['都営大江戸線/勝どき駅 歩2分\n都営大江戸線/月島駅 歩10分\n東京メトロ日比谷線/築地駅 歩17分'],28.5万円,,
ヴィークブライト月島,東京都中央区月島１,['東京メトロ有楽町線/月島駅 歩3分\n都営大江戸線/勝どき駅 歩12分\n東京メトロ日比谷線/築地駅 歩16分'],12.5万円,,
パークアクシス御茶ノ水ヒルトップ,東京都千代田区神田駿河台２,['東京メトロ半蔵門線/神保町駅 歩11分\nＪＲ中央線/御茶ノ水駅 歩6分\nＪＲ中央線/水道橋駅 歩8分'],12.8万円,,
ウィルローズ月島テラス,東京都中央区佃３,['東京メトロ有楽町線/月島駅 歩3分\n都営大江戸線/勝どき駅 歩16分\n都営大江戸線/門前仲町駅 歩17分'],28万円,,
ドゥーエ日本橋,東京都中央区日本橋小網町,['東京メトロ日比谷線/茅場町駅 歩5分\n東京メトロ半蔵門線/水天宮前駅 歩5分\n都営浅草線/人形町駅 歩9分'],13.2万円,,
