物件名,販売価格,所在地,専有面積,間取り
晴海フラッグHARUMI FLAG PARK VIL…,1億6800万円,東京都中央区晴海５,78.85m2（23.85坪）（壁芯）,3LDK
センチュリーパークタワー（46階）,1億6800万円,東京都中央区佃２,73.03m2（22.09坪）（壁芯）,2LDK
パークタワー晴海,1億7000万円,東京都中央区晴海２,82.27m2（壁芯）,2LDK
THE TOKYO TOWERS SEA TOWER,1億8500万円,東京都中央区勝どき６,78.47m2（壁芯）,3LDK
パークタワー晴海,1億8500万円,東京都中央区晴海２,82.27m2（24.88坪）（壁芯）,2LDK
パークタワー晴海,1億8800万円,東京都中央区晴海２,70.84m2（21.42坪）（壁芯）,3LDK
スカイライトタワー,1億9400万円,東京都中央区佃１-１１－７,92.82m2（28.07坪）（壁芯）,3LDK
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億9800万円,東京都中央区晴海２,72.95m2（22.06坪）（壁芯）,3LDK+S（納戸）
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億9800万円,東京都中央区晴海２,72.95m2（22.06坪）（壁芯）,3LDK+S（納戸）
THE TOKYO TOWERS SEA TOWER,1億9800万円,東京都中央区勝どき６,90.27m2（27.30坪）,3LDK
THE　TOKYO　TOWERS　MID　TOWER,2億1800万円,東京都中央区勝どき６,91.58m2（壁芯）,2LDK+S（納戸）
ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ　Ｃ棟,2億1800万円,東京都中央区晴海５,92.78m2（28.06坪）（壁芯）,3LDK
HARUMI　FLAG SUN VILLAGE　C棟,2億1800万円,東京都中央区晴海５,92.78m2（28.06坪）（壁芯）,3LDK
パークタワー勝どきサウス,2億2800万円,東京都中央区勝どき４,72.38m2（21.89坪）（壁芯）,3LDK+S（納戸）
パークタワー晴海,2億3500万円,東京都中央区晴海２,70.84m2（21.42坪）（壁芯）,3LDK
パークタワー勝どきサウス,2億3500万円,東京都中央区勝どき４,78.38m2（壁芯）,2LDK
パークタワー晴海,2億3800万円,東京都中央区晴海２,78.95m2（23.88坪）,3LDK
HARUMI　FLAG SUN VILLAGE　C棟,2億3980万円,東京都中央区晴海５,106.57m2（32.23坪）（壁芯）,4LDK
パークタワー勝どきサウス,2億4800万円,東京都中央区勝どき４,72.38m2（21.89坪）（壁芯）,2LDK
パークタワー晴海,2億5800万円,東京都中央区晴海２,88.49m2（26.76坪）（壁芯）,3LDK
パークタワー勝どきサウス,2億5800万円,東京都中央区勝どき４,74.45m2（22.52坪）（壁芯）,3LDK
パークタワー勝どきサウス,2億5800万円,東京都中央区勝どき４,74.45m2（22.52坪）,3LDK
パークタワー勝どきサウス,2億9800万円,東京都中央区勝どき４,87.05m2（26.33坪）（壁芯）,3LDK
パークタワー勝どきサウス,2億9800万円,東京都中央区勝どき４,87.05m2（26.33坪）（壁芯）,3LDK
パークタワー勝どきサウス,3億1800万円,東京都中央区勝どき４,90.6m2（壁芯）,2LDK
晴海フラッグ HARUMI FLAG SEA VIL…,3億1880万円,東京都中央区晴海５,96.21m2（壁芯）,2LDK
【お得なご成約特典がございます！】MID TOWER…,3億4000万円,東京都中央区月島１-22-1,80.32m2（24.29坪）（壁芯）,2LDK
